CODEILE;BAGUEUR;LIEUDIT;BG;SG;ESPECE;ACTION;CONDREPR;CIRCREPR;BAGUE;DATE;HEURE;SEXE;AGE;COLONIE;SECTEUR;TERRIER;BP;EB;LT;MA;NATURE;RMQTERRIER;PERIODEJN;THEME;CENTRE;PAYS;DEPT;LOCALITE;STADE;LP;MEMO;PRIMAIRE;SECONDAIRE;RECTRICE;COUV;COUD;RG;PL;PR;ASG;CHAMP1;CHAMP2;CHAMP3;CHAMP4;MESURE1;MESURE2;MESURE3;MESURE4
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67721;06/07/2004;00H05;;;PC1;A;A86;;;46,5;380;;;;PROG PERS;FRP;FR;83;HYERES;juv;232;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67723;06/07/2004;00H45;;;PC1;A;near 17;;;47,1;495;;;;PROG PERS;FRP;FR;83;HYERES;juv;234,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67724;07/07/2004;00H45;;;PC7;A;4;;;46,5;345;;;;PROG PERS;FRP;FR;83;HYERES;ad;238,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67725;20/07/2004;00H17;;;PC1;C;A66;;;48,5;410;;;;PROG PERS;FRP;FR;83;HYERES;juv;246,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67726;20/07/2004;00H48;;;PC1;C;A68;;;47,1;520;;;;PROG PERS;FRP;FR;83;HYERES;juv;222;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67727;23/07/2004;00H35;;;PC7;A;3;;;45,3;415;;;;PROG PERS;FRP;FR;83;HYERES;juv;228;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67735;09/02/2005;19H20;M;;PC1;B;28;;;50,35;485;;;;PROG PERS;FRP;FR;83;HYERES;ad;241;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67736;09/02/2005;20H17;F;;PC1;B;28;;;48,35;440;;;;PROG PERS;FRP;FR;83;HYERES;ad;241,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67737;09/02/2005;22H35;M;;PC1;A;83D;;;47,5;420;;;;PROG PERS;FRP;FR;83;HYERES;ad;249;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT85278;10/02/2005;19H20;M;;PC1;C;60;;;46,4;490;;;;PROG PERS;FRP;FR;83;HYERES;ad;240;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67739;10/02/2005;21H15;F;;PC1;B;near 28;;;44,4;365;;;;PROG PERS;FRP;FR;83;HYERES;ad;234;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67740;10/02/2005;22H00;F;;PC1;A;near 6;;;45,2;425;;;;PROG PERS;FRP;FR;83;HYERES;ad;245;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67741;11/02/2005;19H35;M;;PC7;A;near 4;;;47,4;445;;;;PROG PERS;FRP;FR;83;HYERES;ad;239,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT67709;16/02/2005;03H30;M;;PC7;A;4;;;48,2;440;;;;PROG PERS;FRP;FR;83;HYERES;ad;253;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67742;18/02/2005;04H55;M;;PC1;B;near 23;;;48,6;430;;;;PROG PERS;FRP;FR;83;HYERES;ad;242,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67757;12/04/2005;23H59;M;;PC1;B;21;;;49,4;360;;;;PROG PERS;FRP;FR;83;HYERES;ad;235;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67758;13/04/2005;01H30;M;;PC1;C;72;;;45,7;405;;;;PROG PERS;FRP;FR;83;HYERES;ad;244,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67759;15/04/2005;;F;;PC1;C;53;;;46,85;400;;;nuit;PROG PERS;FRP;FR;83;HYERES;ad;238;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67760;26/04/2005;22H49;F;;PC1;B;near 22;;;47,7;410;;;;PROG PERS;FRP;FR;83;HYERES;ad;244;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67761;27/04/2005;22H10;F;;PC1;B;23;;;47,85;403;;;;PROG PERS;FRP;FR;83;HYERES;ad;237;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT67724;05/05/2005;01H00;;;PC7;A;4;;;;;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT67711;05/05/2005;01H30;M;;PC7;A;2;;;;;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT67701;06/05/2005;00H00;F;;PC7;A;3;;;;;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56051;10/05/2005;02H00;M;;PC1;B;A22;;;49,5;435;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56052;10/05/2005;02H30;F;;PC1;B;38;;;46,75;390;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT67724;10/05/2005;23H00;;;PC7;A;4;;;;;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56053;11/05/2005;00H00;F;;PC7;B;5;;;46,9;467;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT67715;11/05/2005;02H30;F;;PC7;A;2;;;;;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;1;;;;;;;;;;;
